date,Open,High,Low,Close,Volume,symbol
2024-12-02,38.332,38.495,38.005,38.005,1314100,BID.VN
2024-12-03,38.005,38.005,37.637,37.637,1400100,BID.VN
2024-12-04,37.678,37.719,36.902,36.902,2399100,BID.VN
2024-12-05,37.024,38.25,37.024,37.596,2427400,BID.VN
2024-12-06,37.923,38.373,37.923,38.087,2497200,BID.VN
2024-12-09,38.127,38.414,38.087,38.168,1717700,BID.VN
2024-12-10,38.25,38.7,38.209,38.209,1943300,BID.VN
2024-12-11,38.373,38.414,38.005,38.087,1286600,BID.VN
2024-12-12,38.168,38.536,38.087,38.087,1935300,BID.VN
2024-12-13,38.046,38.25,37.923,37.923,1382900,BID.VN
2024-12-16,38.414,38.618,38.168,38.209,3247200,BID.VN
2024-12-17,38.414,38.536,38.087,38.087,2248800,BID.VN
2024-12-18,38.291,38.414,38.168,38.291,1661100,BID.VN
2024-12-19,38.127,38.209,37.923,37.964,2706000,BID.VN
2024-12-20,38.005,38.168,37.882,37.964,2993400,BID.VN
2024-12-23,38.472,38.571,38.077,38.175,2895400,BID.VN
2024-12-24,38.274,38.423,37.631,37.681,3216000,BID.VN
2024-12-25,37.78,39.362,37.681,38.225,5277300,BID.VN
2024-12-26,38.522,38.917,38.373,38.571,3884200,BID.VN
2024-12-27,38.818,39.066,38.67,38.719,2859500,BID.VN
2024-12-30,38.67,38.719,37.829,37.829,4011800,BID.VN
2024-12-31,38.077,38.324,37.137,37.137,3416900,BID.VN
2025-01-02,37.78,38.225,37.483,37.78,3160500,BID.VN
2025-01-03,37.78,38.175,37.78,37.78,3698500,BID.VN
2025-01-06,37.879,38.719,37.78,38.373,4820800,BID.VN
2025-01-07,38.67,40.055,38.62,39.956,10448400,BID.VN
2025-01-08,39.956,39.956,39.214,39.906,3125200,BID.VN
2025-01-09,39.461,39.609,38.917,39.511,3599100,BID.VN
2025-01-10,39.461,39.461,38.67,38.67,3114500,BID.VN
2025-01-13,38.67,38.917,37.978,38.868,2461400,BID.VN
2025-01-14,38.769,38.769,38.472,38.571,957600,BID.VN
2025-01-15,38.769,38.769,38.175,38.769,1485800,BID.VN
2025-01-16,38.769,39.066,38.62,38.967,1628500,BID.VN
2025-01-17,38.769,39.066,38.62,39.066,1572900,BID.VN
2025-01-20,39.016,39.659,38.967,39.461,2854300,BID.VN
2025-01-21,39.609,39.609,39.066,39.362,2139600,BID.VN
2025-01-22,39.362,39.362,39.016,39.066,2020900,BID.VN
2025-01-23,39.066,39.659,39.016,39.461,2925500,BID.VN
2025-01-24,39.461,39.56,39.313,39.56,2333900,BID.VN
2025-02-03,39.263,39.461,38.67,38.967,3550500,BID.VN
2025-02-04,39.066,39.659,38.719,39.214,4270900,BID.VN
2025-02-05,39.461,39.511,39.115,39.164,2370300,BID.VN
2025-02-06,39.214,39.56,39.164,39.362,3976100,BID.VN
2025-02-07,39.362,40.351,39.362,40.055,8054000,BID.VN
2025-02-10,40.055,40.747,39.659,39.906,4596700,BID.VN
2025-02-11,40.055,40.302,39.659,40.005,2873800,BID.VN
2025-02-12,39.906,40.005,39.461,39.56,4336000,BID.VN
2025-02-13,39.56,39.807,39.461,39.56,2430100,BID.VN
2025-02-14,39.906,40.401,39.708,40.203,4557800,BID.VN
2025-02-17,40.203,40.203,39.708,39.758,2273100,BID.VN
2025-02-18,39.659,40.203,39.609,40.055,3320100,BID.VN
2025-02-19,40.055,40.45,39.956,40.401,5452400,BID.VN
2025-02-20,40.549,40.598,40.203,40.45,3398400,BID.VN
2025-02-21,40.401,40.598,40.203,40.45,2988800,BID.VN
2025-02-24,40.45,40.945,40.252,40.648,4168600,BID.VN
2025-02-25,40.697,40.895,40.549,40.796,4348800,BID.VN
2025-02-26,40.747,40.796,40.5,40.747,3020100,BID.VN
2025-02-27,40.747,40.846,40.45,40.5,2552300,BID.VN
2025-02-28,40.5,40.5,40.252,40.5,3051600,BID.VN
2025-03-03,40.5,40.747,40.401,40.5,1966100,BID.VN
