date,Open,High,Low,Close,Volume,symbol
2024-12-02,63.022,63.154,62.357,62.557,1573100,VCB.VN
2024-12-03,62.69,62.69,61.494,61.76,2445800,VCB.VN
2024-12-04,61.627,62.357,61.428,62.092,1204400,VCB.VN
2024-12-05,61.76,62.822,61.76,62.424,2333000,VCB.VN
2024-12-06,62.424,63.287,62.357,62.557,1700100,VCB.VN
2024-12-09,62.557,63.287,62.357,63.287,1957500,VCB.VN
2024-12-10,63.287,63.287,62.756,62.756,912700,VCB.VN
2024-12-11,62.756,62.955,61.893,61.959,1609700,VCB.VN
2024-12-12,62.092,62.69,62.092,62.092,671500,VCB.VN
2024-12-13,61.893,62.158,61.693,61.826,1227700,VCB.VN
2024-12-16,61.76,61.893,61.693,61.826,1121800,VCB.VN
2024-12-17,61.76,61.826,61.627,61.76,1048100,VCB.VN
2024-12-18,61.76,61.959,61.76,61.826,530300,VCB.VN
2024-12-19,61.627,61.627,61.229,61.361,1869700,VCB.VN
2024-12-20,61.361,61.693,61.295,61.428,1245900,VCB.VN
2024-12-23,61.494,61.627,61.361,61.361,707200,VCB.VN
2024-12-24,61.561,61.627,61.096,61.162,1024300,VCB.VN
2024-12-25,61.229,62.291,61.229,61.361,1827700,VCB.VN
2024-12-26,61.428,61.627,61.096,61.162,2202900,VCB.VN
2024-12-27,61.428,61.76,61.229,61.229,1639900,VCB.VN
2024-12-30,61.229,61.428,61.096,61.096,1706700,VCB.VN
2024-12-31,61.229,61.361,60.564,60.564,2374000,VCB.VN
2025-01-02,60.83,61.428,60.764,61.029,1630500,VCB.VN
2025-01-03,61.029,61.361,61.029,61.096,1402200,VCB.VN
2025-01-06,61.096,62.025,61.029,61.693,1936800,VCB.VN
2025-01-07,61.893,61.893,61.295,61.295,1252400,VCB.VN
2025-01-08,61.295,61.361,60.764,61.361,1052000,VCB.VN
2025-01-09,61.096,61.229,60.896,61.029,738300,VCB.VN
2025-01-10,61.029,61.361,60.697,60.697,1112500,VCB.VN
2025-01-13,60.631,61.029,60.498,61.029,937600,VCB.VN
2025-01-14,61.029,61.029,60.564,60.896,677300,VCB.VN
2025-01-15,61.029,61.029,60.697,60.697,445300,VCB.VN
2025-01-16,61.029,61.893,60.963,61.561,2460200,VCB.VN
2025-01-17,61.561,61.76,61.229,61.428,1122600,VCB.VN
2025-01-20,61.295,61.428,60.83,60.896,1761500,VCB.VN
2025-01-21,61.162,61.162,60.631,60.697,1264900,VCB.VN
2025-01-22,61.096,61.096,60.564,60.564,979100,VCB.VN
2025-01-23,60.631,61.693,60.631,61.428,1685100,VCB.VN
2025-01-24,61.162,61.76,61.162,61.494,944000,VCB.VN
2025-02-03,61.295,61.361,60.83,60.83,1435800,VCB.VN
2025-02-04,61.162,61.229,60.896,61.096,855200,VCB.VN
2025-02-05,61.096,61.627,61.096,61.494,1345800,VCB.VN
2025-02-06,61.627,62.025,61.561,61.693,1351600,VCB.VN
2025-02-07,61.693,61.893,61.428,61.76,2260900,VCB.VN
2025-02-10,61.693,61.693,61.029,61.229,2298100,VCB.VN
